English,Telugu,MIX CODE (TENGLISH),TRANSLITERATION
You can trust all of us.,మీరు మా అందరినీ నమ్మవచ్చు.          ,మీరు మమ్మల్ని trust చేయవచ్చు.,Miru mamalni trust cheyyavaccu.
It's illegal to waste water here.,ఇక్కడ నీరు వృథా చేయడం చట్టవిరుద్ధం.          ,ఇక్కడ నీరు waste చేయడం illegal.,Ikkada neeru waste cheyadam illegal.
We can't do this again.,మేము దీన్ని మళ్ళీ చేయలేము.          ,మేము దీన్ని మళ్ళీ చేయలేము.,Memu dinini malli cheyalemu.
I know myself very well.,నాకు నన్ను బాగా తెలుసు.          ,నాకు నన్ను బాగా తెలుసు.,Naaku nannu baga telusu.
I know you don't trust us.,మీరు మమ్మల్ని విశ్వసించరని నాకు తెలుసు.          ,మీరు మమ్మల్ని trust చేయరని నాకు తెలుసు.,Miru mamalni trust cheyarani naaku telusu.
Tom will be helping Mary do that.,టామ్ మేరీకి సహాయం చేస్తాడు.          ,Tom Mary కి help చేస్తాడు.,Tom Mary ki help chestadu.
I don't blame anyone.,నేను ఎవరినీ నిందించడం లేదు.          ,నేను ఎవరికీ blame ఇవ్వను.,Nenu evariki blame ivvanu.
Are you tall?,మీరు పొడుగైనవారా?          ,మీరు పొడుగైనవారా?,Miru podugainavara?
I can't believe I did this.,నేను ఇలా చేశానని నమ్మలేకపోతున్నాను.          ,నేను ఇలా చేశానని నమ్మలేకపోతున్నాను.,Nenu ila chesananani nammalekapotunnanu.
Tom could've heard us.,టామ్ మమ్మల్ని విన్నాడు.          ,Tom మమ్మల్ని విన్నాడు.,Tom mamalni vinnadu.
Tom is the only one who understands me.,టామ్ మాత్రమే నన్ను అర్థం చేసుకున్నాడు.          ,Tom మాత్రమే నన్ను understand చేశాడు.,Tom matrame nannu understand chesadu.
Tom's parents are older than Mary's parents.,టామ్ తల్లిదండ్రులు మేరీ తల్లిదండ్రుల కంటే పెద్దవారు.          ,Tom తల్లిదండ్రులు Mary తల్లిదండ్రుల కంటే పెద్దవారు.,Tom tallidandrulu Mary tallidandrula kante peddavaru.
His Japanese is almost perfect.,అతని జపనీస్ దాదాపు ఖచ్చితంగా ఉంది.          ,అతని Japanese దాదాపు perfect గా ఉంది.,Atani Japanese dadapu perfect ga undi.
I put on my shirt.,నా చొక్కా వేసుకున్నాను.          ,నేను నా shirt వేసుకున్నాను.,Nenu na shirt vesukunnanu.
Are you sure of her coming on time?,ఆమె సమయానికి రావడం మీకు ఖచ్చితంగా తెలుసా?          ,ఆమె సమయానికి వస్తుందని మీకు sure గా తెలుసా?,Ame samayaniki vastundani miku sure ga telusa?
I thought you'd be angry.,మీరు కోపంగా ఉంటారని నేను అనుకున్నాను.          ,నేను అనుకున్నాను మీరు angry ఉంటారని.,Nenu anukunnanu meeru angry untarani.
Mary wanted to finish making breakfast before Tom woke up.,టామ్ మేల్కొనే ముందు మేరీ అల్పాహారం తయారు చేయాలనుకున్నాడు.          ,Mary wanted to finish అల్పాహారం making before Tom woke up.,Mary wanted to finish alpaharam making before Tom woke up.
We'll have to postpone the game.,మేము ఆటను వాయిదా వేయాలి.          ,We have to game postpone చేయాలి.,We have to game postpone cheyali.
If you don't hurry  you'll be late for your appointment.,మీరు తొందరపడకపోతే  మీరు మీ నియామకానికి ఆలస్యం అవుతారు.        ,మీరు hurry కాకపోతే you'll be late for your appointment.,Meeru hurry kakapote you'll be late for your appointment.
We'll give an interview in the afternoon.,మేము మధ్యాహ్నం ఇంటర్వ్యూ ఇస్తాము.          ,We మిడ్డాహ్నం interview ఇస్తాము.,We middhahnm interview istamu.
Does Tom think Mary did it?,టామ్ మేరీ అలా చేశాడా?          ,Tom thinks Mary did it అని?,Tom thinks Mary did it ani?
Please stay here till I get back.,నేను తిరిగి వచ్చేవరకు దయచేసి ఇక్కడే ఉండండి.          ,Please ఇక్కడే stay చేయండి till I get back.,Please ikkade stay cheyandi till I get back.
Tom seldom travels.,టామ్ అరుదుగా ప్రయాణిస్తాడు.          ,Tom అరుదుగా travels చేస్తాడు.,Tom aruduga travels chestadu.
Don't do anything you'll regret.,మీరు చింతిస్తున్నాము ఏమీ చేయవద్దు.          ,మీరు ఏమీ చేయవద్దు that you'll regret.,Meeru emi cheyavadhu that you'll regret.
I think that Tom broke the dish on purpose.,టామ్ ఉద్దేశపూర్వకంగా డిష్ను విరిచాడని నేను అనుకుంటున్నాను.          ,I think Tom purposefully డిష్ broke చేసాడు.,I think Tom purposefully dish broke chesadu.
She has an absent look on her face.,ఆమె ముఖం మీద కనిపించని రూపం ఉంది.          ,ఆమె face మీద absent look ఉంది.,Aame face meda absent look undi.
Boston is a good place to live.,బోస్టన్ నివసించడానికి మంచి ప్రదేశం.          ,Boston నివసించడానికి good place.,Boston nivasinchadaniki good place.
Don't be afraid of making mistakes.,తప్పులు చేస్తారని భయపడవద్దు.          ,Mistakes చేయడం భయపడవద్దు.,Mistakes cheyadam bhayapadavadhu.
We were created in God's image.,మేము దేవుని స్వరూపంలో సృష్టించబడ్డాము.          ,We were created దేవుని image లో.,We were created devuni image lo.
Tom would never forgive us if we ate the cake he baked for Mary.,మేరీ కోసం కాల్చిన కేక్ మేము తింటే టామ్ మమ్మల్ని క్షమించడు.          ,"If we Mary కోసం baked cake తింటే, Tom మమ్మల్ని forgive చేయడు.","If we Mary kosam baked cake tinte, Tom mammalni forgive cheyadu."
Tom didn't even get a chance to say goodbye.,టామ్‌కు వీడ్కోలు చెప్పే అవకాశం కూడా రాలేదు.          ,Tom కు even chance రాలేదు to say goodbye.,Tom ku even chance raledu to say goodbye.
I don't think anybody will like Tom.,టామ్‌ను ఎవరైనా ఇష్టపడతారని నేను అనుకోను.          ,I think ఎవరైనా Tom like చేయరు.,I think evaraina Tom like cheyaru.
What do you want to know?,మీరు ఏమి తెలుసుకోవాలని అనుకుంటున్నారు?          ,మీరు what తెలుసుకోవాలని అనుకుంటున్నారు?,Meeru what telusukovalani anukuntunnaru?
Only time will tell.,కాలమే చెప్తుంది.          ,Only time చెప్తుంది.,Only time cheptundi.
Put it on the shelf.,షెల్ఫ్ మీద ఉంచండి.          ,దానిని shelf మీద ఉంచండి.,Danini shelf meda unchandi.
I think he's an honest man.,అతను నిజాయితీపరుడని నేను భావిస్తున్నాను.          ,I think అతను honest man.,I think atanu honest man.
Elephants are the largest land animals alive today.,ఏనుగులు ఈ రోజు జీవించి ఉన్న అతిపెద్ద భూ జంతువులు.          ,Elephants ఈ రోజు living అతిపెద్ద land animals.,Elephants ee roju living atipedda land animals.
Wherever you say  Tom.,మీరు ఎక్కడ చెప్పినా టామ్.         ,Wherever మీరు చెప్పినా Tom.,Wherever meeru cheppina Tom.
They're too difficult.,అవి చాలా కష్టం.          ,అవి very difficult.,Avi very difficult.
I don't regret saying no.,నేను చెప్పనందుకు చింతిస్తున్నాను.          ,I regret saying no కాదు.,I regret saying no kadu.
Tom knows them all.,టామ్ వారందరికీ తెలుసు.          ,Tom వారందరికీ knows.,Tom varandariki knows.
Would you sing for me?,మీరు నా కోసం పాడతారా?          ,మీరు sing చేస్తారా for me?,Meeru sing chestara for me?
Tom doesn't celebrate birthdays.,టామ్ పుట్టినరోజులను జరుపుకోడు.          ,Tom birthdays celebrate చేయడు.,Tom birthdays celebrate cheyadu.
Who's been shot?,ఎవరు కాల్చబడ్డారు?          ,ఎవరు shot అయ్యారు?,Evaru shot ayyaru?
Tom spends all his free time playing video games.,టామ్ తన ఖాళీ సమయాన్ని వీడియో గేమ్స్ ఆడుతాడు.          ,Tom తన free time video games ఆడుతాడు.,Tom tana free time video games adutadu.
Could you turn down the volume?,మీరు వాల్యూమ్‌ను తిరస్కరించగలరా?          ,మీరు volume‌ను తగ్గించగలరా?,Meeru volume-nu tagginchagalara?
My father will soon be forty years old.,నాన్నకు త్వరలో నలభై సంవత్సరాలు అవుతుంది.          ,నాన్నకు త్వరలో forty years అవుతుంది.,Nanna-ku thvaralo forty years avutayi.
Tom and I usually walk to school together.,టామ్ మరియు నేను సాధారణంగా కలిసి పాఠశాలకు వెళ్తాము.          ,Tom మరియు నేను usually కలిసి schoolకు వెళ్తాము.,Tom mariyu nenu usually kalisi school-ku veltamu.
It is impossible to live without water.,నీరు లేకుండా జీవించడం అసాధ్యం.          ,నీరు లేకుండా living అసాధ్యం.,Neeru lekunda living asadhyam.
Even Tom didn't have to do that.,టామ్ కూడా అలా చేయనవసరం లేదు.          ,Tom కూడా అలా చేయనవసరం లేదు.,Tom kooda ala cheyanavasaram ledu.
Is there any mail for me?,నాకు ఏదైనా మెయిల్ ఉందా?          ,నాకు ఏదైనా mail ఉందా?,Naaku edaina mail unda?
People blamed General Grant.,ప్రజలు జనరల్ గ్రాంట్‌ను నిందించారు.          ,ప్రజలు General Grant‌ను నిందించారు.,Prajaloo General Grant-nu nindinchaaru.
What was Tom eating?,టామ్ ఏమి తింటున్నాడు?          ,Tom ఏమి eating చేస్తున్నాడు?,Tom emi eating chestunnadu?
Young people must respect the law.,యువకులు చట్టాన్ని గౌరవించాలి.          ,యువకులు law‌ను గౌరవించాలి.,Yuvakulu law-nu gauravinchali.
What do you think these are?,ఇవి ఏమిటో మీరు అనుకుంటున్నారు?          ,ఇవి ఏమిటో మీరు think చేస్తున్నారు?,Ivi emito meeru think chestunnaru?
Tom is an experienced sailor.,టామ్ అనుభవజ్ఞుడైన నావికుడు.          ,Tom అనుభవజ్ఞుడైన sailor.,Tom anubhavajnudaina sailor.
Please copy this.,దయచేసి దీన్ని కాపీ చేయండి.          ,దయచేసి దీనిని copy చేయండి.,Dayachesi dinni copy cheyyandi.
Tom unfolded the map.,టామ్ మ్యాప్‌ను విప్పాడు.          ,Tom map‌ను విప్పాడు.,Tom map-nu vippadu.
Tom said he couldn't find anything to eat.,టామ్ తనకు తినడానికి ఏమీ దొరకలేదని చెప్పాడు.          ,Tom తనకు eat చేయడానికి ఏమీ దొరకలేదని చెప్పాడు.,Tom tanaku eat cheyadaniki emi dorakaleda ani cheppadu.
Let him do it.,అతడు దానిని చేయనివ్వండి.          ,అతను దానిని do చేయనివ్వండి.,Atanu danini do cheyanivvandi.
I know that you don't like me anymore.,మీరు నన్ను ఇక ఇష్టపడరని నాకు తెలుసు.          ,నాకు తెలుసు మీరు ఇక like చేయరని.,Naaku telusu meeru ika like cheyalerani.
How many guests did you invite?,మీరు ఎంత మంది అతిథులను ఆహ్వానించారు?          ,మీరు ఎంత మంది guests‌ను invite చేశారు?,Meeru entha mandi guests-ni invite chesaru?
I can't drink alcohol.,నేను మద్యం తాగలేను.          ,నేను alcohol తాగలేను.,Nenu alcohol tagalenu.
She was formerly a bank clerk.,ఆమె గతంలో బ్యాంక్ గుమస్తా.          ,ఆమె pastలో bank clerk.,Aame past-lo bank clerk.
Does your mother know about this?,మీ తల్లికి ఈ విషయం తెలుసా?          ,మీ తల్లికి ఈ matter తెలుసా?,Mee talliki ee matter telusaa?
There are a lot of questions that need answering.,చాలా ప్రశ్నలకు సమాధానం అవసరం.          ,చాలా ప్రశ్నలకు answer అవసరం,Chaala prashnalu ki answer avasaram
I offered Tom a drink of vodka  but he refused it.,నేను టామ్‌కు వోడ్కా పానీయం ఇచ్చాను  కాని అతను దానిని తిరస్కరించాడు.        ,"నేను Tom కి vodka drink ఇచ్చాను, కానీ అతను refuse చేశాడు","Nenu Tom ki vodka drink ichaanu, kaani atanu refuse chesadu"
I live in this area.,నేను ఈ ప్రాంతంలో నివసిస్తున్నాను.          ,నేను ఈ area లో నివసిస్తున్నాను,Nenu ee area lo nivasistunnanu
Tom is eager to succeed.,టామ్ విజయవంతం కావడానికి ఆసక్తిగా ఉన్నాడు.          ,Tom విజయవంతం కావాలని ఆసక్తిగా ఉన్నాడు,Tom vijayavantam kaavalani aasaktiga unnadu
They had three sons.,వారికి ముగ్గురు కుమారులు.          ,వారికి three sons ఉన్నారు,Variki three sons unnaru
I wanted Tom to come with me.,టామ్ నాతో రావాలని నేను కోరుకున్నాను.          ,నేను Tom నాతో రావాలని కోరుకున్నాను,Nenu Tom naatho raavalani korukunnanu
Don't rely on him.,అతనిపై ఆధారపడవద్దు.          ,అతనిపై rely అవ్వకండి,Atanipai rely avvakandi
I wake up at eight.,నేను ఎనిమిది గంటలకు మేల్కొంటాను.          ,నేను 8 గంటలకు లేస్తాను,Nenu 8 gantalaku lestaanu
I like honest people.,నేను నిజాయితీపరులను ఇష్టపడతాను.          ,నేను honest people ని ఇష్టపడతాను,Nenu honest people ni ishtapadatanu
I don't think this is right.,ఇది సరైనదని నేను అనుకోను.          ,ఇది right అని నేను అనుకోవట్లేదు,Idi right ani nenu anukovatledu
Let me have a look at the picture.,చిత్రాన్ని చూద్దాం.          ,Picture ని నేను చూద్దాం,Picture ni nenu chooddam
Tom and Mary both know that's unlikely to happen.,టామ్ మరియు మేరీ ఇద్దరికీ అది జరిగే అవకాశం లేదని తెలుసు.          ,Tom మరియు Mary ఇద్దరికీ అది జరగకపోవచ్చని తెలుసు,Tom mariyu Mary iddariki adi jaragakapovachani telusu
This fish is good.,ఈ చేప మంచిది.          ,ఈ fish మంచిది,Ee fish manchidi
I don't drink alcohol.,నేను మద్యం తాగను.          ,నేను alcohol తాగను,Nenu alcohol taganu
That's really not the same thing.,ఇది నిజంగా అదే విషయం కాదు.          ,ఇది నిజంగా same thing కాదు,Idi nijanga same thing kaadu
There is a map on the desk.,డెస్క్ మీద మ్యాప్ ఉంది.          ,Desk మీద map ఉంది,Desk meeda map undi
Let me do the talking.,నేను మాట్లాడటం చేద్దాం.          ,Talking నేను చేసుకుంటాను,Talking nenu chesukuntaanu
Tom nodded to me.,టామ్ నాకు వణుకుతున్నాడు.          ,Tom నాకు nod చేశాడు,Tom naaku nod chesadu
Tom forgot to ask Mary what he had planned to ask her.,టామ్ మేరీని అడగడానికి మర్చిపోయాడు.          ,Tom Mary ని అడగడం మర్చిపోయాడు,Tom Mary ni adagadam marchipoyadu
I looked down.,నేను కిందకి చూశాను.          ,నేను కింద చూసాను,Nenu kinda choosaanu
Tom wasn't the one who told me that.,టామ్ నాకు అలా చెప్పలేదు.          ,Tom నాకు అలా చెప్పలేదు,Tom naaku ala cheppaledu
They were found unharmed.,వారు క్షేమంగా కనిపించారు.          ,వారిని safe గా కనుగొన్నారు,Varini safe ga kanipinchaaru
I didn't do what I was told to do.,నేను చేయమని చెప్పినట్లు నేను చేయలేదు.          ,నేను చెప్పిన పని చేయలేదు,Nenu cheppina pani cheyaledu
He got up and left in the middle of the discussion.,అతను లేచి చర్చ మధ్యలో వెళ్ళిపోయాడు.          ,అతను లేచి discussion మధ్యలో వెళ్లిపోయాడు,Atanu lechi discussion madhyalo vellipoyadu
I said that I would help him.,నేను అతనికి సహాయం చేస్తానని చెప్పాను.          ,నేను అతనికి help చేస్తానని చెప్పాను,Nenu ataniki help chestaanani cheppaanu
Tom knew Mary was with John.,మేరీ జాన్ తో ఉన్నట్లు టామ్ కి తెలుసు.          ,Tom కి తెలుసు Mary John తో ఉంది,Tom ki telusu Mary John tho undi
We saw a strange object in the sky.,మేము ఆకాశంలో ఒక వింత వస్తువును చూశాము.          ,మేము sky లో ఒక strange object చూశాము,Memu sky lo oka strange object choosamu
They're watching me.,వారు నన్ను చూస్తున్నారు.          ,వారు నన్ను చూస్తున్నారు,Vaaru nannu choostunnaru
I'm overworked.,నేను ఎక్కువ పని చేస్తున్నాను.          ,నేను overwork అవుతున్నాను,Nenu overwork avutunnanu
The man puffed smoke into her face.,ఆ వ్యక్తి ఆమె ముఖంలోకి పొగ తన్నాడు.          ,ఆ man ఆమె face లో smoke blow చేశాడు,Aa man aame face lo smoke blow chesadu
Tom gives piano lessons to children.,టామ్ పిల్లలకు పియానో పాఠాలు ఇస్తాడు.          ,Tom పిల్లలకు piano lessons ఇస్తాడు,Tom pillalaki piano lessons istadu
Tom will be there as well.,టామ్ కూడా అక్కడే ఉంటాడు.          ,Tom అక్కడ కూడా ఉంటాడు,Tom akkada kooda untadu
Tom ordered a strawberry shake.,టామ్ స్ట్రాబెర్రీ షేక్ చేయమని ఆదేశించాడు.          ,Tom strawberry shake order చేశాడు,Tom strawberry shake order chesadu
Mary is a very attractive girl.,మేరీ చాలా ఆకర్షణీయమైన అమ్మాయి.          ,Mary చాలా attractive girl,Mary chaala attractive girl
I feel quite refreshed after taking a bath.,నేను స్నానం చేసిన తర్వాత చాలా రిఫ్రెష్ అవుతున్నాను.          ,నేను bath తరువాత చాలా refresh అవుతున్నాను,Nenu bath tarvata chaala refresh avutunnanu
Everyone was tense.,అందరూ ఉద్రిక్తంగా ఉన్నారు.          ,అందరూ tense గా ఉన్నారు,Andaru tense ga unnaru
What else is in the closet?,గదిలో ఇంకేముంది?          ,Closet లో ఇంకేముంది,Closet lo inkem undi
Mary isn't really sick. She's only pretending to be.,మేరీ నిజంగా అనారోగ్యంతో లేదు.          ,"Mary నిజంగా sick కాదు, just pretending","Mary nijanga sick kaadu, just pretending"
Tom asked Mary to read the letter.,టామ్ మేరీని లేఖ చదవమని కోరాడు.          ,Tom Mary ని letter చదవమని అడిగాడు,Tom Mary ni letter chadavamani adigadu
Why are we whispering?,మనం ఎందుకు గుసగుసలాడుతున్నాం?          ,మనం ఎందుకు whisper చేస్తున్నాం,Manam enduku whisper chestunnam
I need a piece of wood about three inches thick.,నాకు మూడు అంగుళాల మందపాటి చెక్క ముక్క అవసరం.          ,నాకు 3 inch thick wood piece అవసరం,Naaku 3 inch thick wood piece avasaram
Tom was too weak.,టామ్ చాలా బలహీనంగా ఉన్నాడు.          ,Tom చాలా weak గా ఉన్నాడు,Tom chaala weak ga unnadu
He can sing better than any of us.,అతను మనలో ఎవరికన్నా బాగా పాడగలడు.          ,అతను మనలో ఎవరికన్నా better గా పాడగలడు,Atanu manalo evarikanna better ga paadagaladu
Tom was in Boston then.,టామ్ అప్పుడు బోస్టన్లో ఉన్నాడు.          ,Tom అప్పడు Boston లో ఉన్నాడు,Tom appudu Boston lo unnadu
There was no choice but to sit and wait.,కూర్చుని వేచి ఉండడం తప్ప వేరే మార్గం లేదు.          ,Sitting and waiting తప్ప option లేదు,Sitting and waiting tappaa option ledu
The highway runs parallel to the river.,రహదారి నదికి సమాంతరంగా నడుస్తుంది.          ,Highway river కి parallel గా నడుస్తుంది,Highway river ki parallel ga nadustundi
Tom opened his toolbox.,టామ్ తన టూల్‌బాక్స్ తెరిచాడు.          ,Tom తన toolbox open చేశాడు,Tom tana toolbox open chesadu
Someone coughed.,ఎవరో గట్టిగా అరిచారు.          ,ఎవరో cough చేశారు,Evaro cough chesaru
This cut is bleeding a lot.,ఈ కోత చాలా రక్తస్రావం అవుతోంది.          ,ఈ cut నుండి చాలా blood వస్తోంది,Ee cut nundi chaala blood vastundi
I take the subway almost every day.,నేను దాదాపు ప్రతి రోజు సబ్వే తీసుకుంటాను.          ,నేను almost ప్రతి రోజు subway వెళ్తాను,Nenu almost prati roju subway veltanu
I'm going to kiss you now.,నేను ఇప్పుడు నిన్ను ముద్దు పెట్టుకోబోతున్నాను.          ,నేను ఇప్పుడు నిన్ను kiss పెట్టుకోబోతున్నాను,Nenu ippudu ninnu kiss pettukobothunnanu
Everybody gets old.,అందరూ వృద్ధాప్యం అవుతారు.          ,అందరూ old అవుతారు,Andaru old avutaaru
I don't think that changes anything.,అది దేనినీ మారుస్తుందని నేను అనుకోను.          ,అది దేనినీ change చేస్తుందని నేను అనుకోను,Adi denini change chestundani nenu anukonu
Her behavior is abnormal for a young girl.,ఆమె ప్రవర్తన ఒక చిన్న అమ్మాయికి అసాధారణమైనది.          ,ఆమె behavior ఒక చిన్న అమ్మాయికి అసాధారణమైనది,Aame behavior oka chinna ammayiki asaadhaaranamainadi
How do you know that Tom was the one who did it?,టామ్ అది చేసినట్లు మీకు ఎలా తెలుసు?          ,టామ్ అది చేసాడని మీకు ఎలా తెలుసు?,Tom adi chesaadani meeku ela telusu?
Tom did what he had to.,టామ్ తనకు ఉన్నది చేశాడు.          ,టామ్ what he had to చేశాడు,Tom what he had to chesadu
I dreamed I had been abducted by aliens.,నేను గ్రహాంతరవాసులచే అపహరించబడ్డానని కలలు కన్నాను.          ,నేను aliens చేత abduct అయ్యానని dream చూశాను,Nenu aliens cheta abduct ayyaanani dream choosanu
This additional work will take about two hours more.,ఈ అదనపు పనికి ఇంకా రెండు గంటలు పడుతుంది.          ,ఈ additional work కి ఇంకా రెండు గంటలు పడుతుంది,Ee additional work ki inka rendu gantalu padutundi
Tom is leaving at 2:30 this afternoon.,టామ్ ఈ మధ్యాహ్నం 2:30 గంటలకు బయలుదేరుతున్నాడు.          ,టామ్ ఈ మధ్యాహ్నం 2:30 కి leave అవుతున్నాడు,Tom ee madhyaahnam 2:30 ki leave avutunnadu
We had so much fun together.,మేమిద్దరం కలిసి చాలా ఆనందించాము.          ,మేమిద్దరం కలసి చాలా fun చేసాం,Memiddaram kalisi chaala fun chesam
Can we do it another time?,మనం మరోసారి చేయగలమా?          ,మనం ఇంకో time చేయగలమా?,Manam inko time cheyagalamaa?
White paint will brighten the room.,వైట్ పెయింట్ గదిని ప్రకాశవంతం చేస్తుంది.          ,White paint గదిని ప్రకాశవంతం చేస్తుంది,White paint gadini prakaashavantam chestundi
You are free to leave any time you wish.,మీరు కోరుకున్న ఎప్పుడైనా బయలుదేరడానికి మీకు స్వేచ్ఛ ఉంది.          ,మీరు కోరుకున్న ఎప్పుడైనా leave అవ్వడానికి మీకు freedom ఉంది,Meeru korukunna eppudaina leave avvadani ki freedom undi
We called off the wedding.,మేము పెళ్లిని విరమించుకున్నాము.          ,మేము wedding cancel చేసుకున్నాము,Memu wedding cancel chesukunnam
I was the only one who didn't know.,నేను మాత్రమే తెలియదు.          ,నేను మాత్రమే తెలియదు,Nenu maathrame teliyadu
I'm coming to Boston next month.,నేను వచ్చే నెల బోస్టన్‌కు వస్తున్నాను.          ,నేను వచ్చే నెల Boston కి వస్తున్నాను,Nenu vacche nel Boston ki vastunnanu
You stay here. I'll be right back.,మీరు ఇక్కడే ఉండండి.          ,మీరు ఇక్కడే ఉండండి నేను వెంటనే back వస్తాను,Meeru ikkade undandi nenu ventane back vastanu
Please remind me to turn in the paper tomorrow.,రేపు పేపర్‌లో తిరగమని దయచేసి నాకు గుర్తు చేయండి.          ,రేపు paper submit చేయమని దయచేసి నాకు remind చేయండి,Repu paper submit cheyamani dayachesi naaku remind cheyandi
You should apologize to Tom for being late.,టామ్ ఆలస్యం అయినందుకు మీరు క్షమాపణ చెప్పాలి.          ,టామ్ late అయ్యినందుకు మీరు apologize చేయాలి,Tom late ayyinanduku meeru apologize cheyali
There are ten people in this room.,ఈ గదిలో పది మంది ఉన్నారు.          ,ఈ room లో పది మంది ఉన్నారు,Ee room lo padhi mandi unnaru
We've got no plans to do that.,మాకు ఎటువంటి ప్రణాళికలు లేవు.          ,మాకు ఎటువంటి plans లేవు,Maaku etuvanti plans levu
Have you ever dreamed about me?,మీరు ఎప్పుడైనా నా గురించి కలలుగన్నారా?          ,మీరు ఎప్పుడైనా నా గురించి dream చూశారా?,Meeru eppudaina naa gurinchi dream choosara?
This plant is good to eat.,ఈ మొక్క తినడానికి మంచిది.          ,ఈ plant తినడానికి మంచిది,Ee plant tinadaniki manchidi
This is outrageous.,ఇది దారుణం.          ,ఇది outrageous,Idi outrageous
I can come back another time.,నేను మరోసారి తిరిగి రాగలను.          ,నేను ఇంకోసారి తిరిగి రావచ్చు,Nenu inko saari tirigi ravachu
Didn't I tell you not to dance?,నాట్యం చేయవద్దని నేను మీకు చెప్పలేదా?          ,Dance చేయవద్దని నేను మీకు చెప్పలేదా?,Dance cheyavaddani nenu meeku cheppaledaa?
What do you like to do in your spare time?,మీ ఖాళీ సమయంలో మీరు ఏమి చేయాలనుకుంటున్నారు?          ,మీ spare time లో మీరు ఏమి చేయాలనుకుంటున్నారు?,Mee spare time lo meeru emi cheyalanukuntunnaru?
Tom is missing a finger.,టామ్ ఒక వేలు లేదు.          ,టామ్ ఒక finger లేదు,Tom oka finger ledu
Tom looked suspicious.,టామ్ అనుమానాస్పదంగా కనిపించాడు.          ,టామ్ suspicious గా కనిపించాడు,Tom suspicious ga kanipinchadu
Did you have a nice Christmas?,మీకు మంచి క్రిస్మస్ ఉందా?          ,మీకు మంచి Christmas ఉందా?,Meeku manchi Christmas undaa?
Tom looked right and then left.,టామ్ కుడివైపు మరియు తరువాత ఎడమ వైపు చూశాడు.          ,టామ్ right చూశాడు తరువాత left చూశాడు,Tom right choosadu taruvata left choosadu
This is mystifying.,ఇది మిస్టీఫైయింగ్.          ,ఇది mystifying,Idi mystifying
How can you make your way in life without a good education?,మంచి విద్య లేకుండా మీరు జీవితంలో ఎలా ప్రవేశించగలరు?          ,Good education లేకుండా మీరు life లో ఎలా move forward అవుతారు?,Good education lekunda meeru life lo ela move forward avutaaru?
Several flights have been canceled.,అనేక విమానాలు రద్దు చేయబడ్డాయి.          ,అనేక flights cancel అయ్యాయి,Aneka flights cancel ayyayi
His daughter grew to be a beautiful woman.,అతని కుమార్తె అందమైన మహిళగా ఎదిగింది.          ,అతని daughter అందమైన woman గా ఎదిగింది,Atani daughter andamaina woman ga edigindi
Tom doesn't have to know about it.,టామ్ దాని గురించి తెలుసుకోవలసిన అవసరం లేదు.          ,టామ్ దాని గురించి తెలుసుకోవాల్సిన అవసరం లేదు,Tom daani gurinchi telusukovaalsina avasaram ledu
Large houses are not necessarily comfortable to live in.,పెద్ద ఇళ్ళు నివసించడానికి సౌకర్యంగా ఉండవు.          ,Large houses live చేయడానికి comfortable కావు,Large houses live cheyadaniki comfortable kaavu
I'll do whatever it takes to be with you.,మీతో ఉండటానికి ఏమైనా చేస్తాను.          ,మీతో ఉండటానికి నేను ఏమైనా చేస్తాను,Meetho undadaniki nenu emaina chestanu
Sit over there and shut up.,అక్కడ కూర్చుని మూసివేయండి.          ,అక్కడ కూర్చుని shut up,Akkada koorchuni shut up
Tom thought he could count on Mary.,టామ్ అతను మేరీని లెక్కించగలడని అనుకున్నాడు.          ,టామ్ మేరీ మీద count చేయగలనని అనుకున్నాడు,Tom Mary meeda count cheyagalanani anukunnadu
I have a sense of humor.,నాకు హాస్యం ఉంది.          ,నాకు sense of humor ఉంది,Naaku sense of humor undi
Tom paints best in oil.,టామ్ నూనెలో ఉత్తమంగా పెయింట్ చేస్తుంది.          ,టామ్ oil లో best గా paint చేస్తాడు,Tom oil lo best ga paint chestadu
Not much soccer is played there.,అక్కడ ఎక్కువ సాకర్ ఆడరు.          ,అక్కడ ఎక్కువ soccer ఆడరు,Akkada ekkuva soccer aadharu
"Where's Tom? ""How would I know?""",టామ్ ఎక్కడ?          ,టామ్ ఎక్కడ?,Tom ekkada?
He is living apart from his wife.,అతను తన భార్యకు దూరంగా నివసిస్తున్నాడు.          ,అతను తన wife కి దూరంగా live చేస్తున్నాడు,Atanu tana wife ki dooranga live chestunnadu
Tom believes you have something to do with it.,టామ్ మీకు దానితో ఏదైనా చేయాలని నమ్ముతాడు.          ,టామ్ మీరు దానితో సంబంధం ఉన్నారని నమ్ముతాడు,Tom meeru daanito sambandham unnattuga nammutadu
I'm free tonight.,నేను ఈ రాత్రి స్వేచ్ఛగా ఉన్నాను.          ,నేను ఈ night free గా ఉన్నాను,Nenu ee night free ga unnanu
I gave up all hope of survival.,నేను మనుగడ కోసం అన్ని ఆశలు వదులుకున్నాను.          ,నేను survival కోసం అన్ని hopes వదులుకున్నాను,Nenu survival kosam anni hopes vadulukunnanu
There is no room for doubt.,సందేహానికి స్థలం లేదు.          ,Doubt కి place లేదు,Doubt ki place ledu
I hate strong-minded women.,నేను బలమైన మనస్సుగల స్త్రీలను ద్వేషిస్తున్నాను.          ,నేను strong-minded women ను ద్వేషిస్తున్నాను,Nenu strong-minded women nu dveshistunnanu
